city,city_ascii,lat,lng,Color,,
Tokyo,Tokyo,35.6839,139.7744,#056607,,
Jakarta,Jakarta,-6.2146,106.8451,#2d6900,,
Delhi,Delhi,28.6667,77.2167,#476a00,,
Manila,Manila,14.6000,120.9833,#606a00,,
São Paulo,Sao Paulo,-23.5504,-46.6339,#7a6800,,
Seoul,Seoul,37.5600,126.9900,#946400,,
Mumbai,Mumbai,19.0758,72.8775,#ae5c00,,
Shanghai,Shanghai,31.1667,121.4667,#c94f00,,
Mexico City,Mexico City,19.4333,-99.1333,#e33b00,,
Guangzhou,Guangzhou,23.1288,113.2590,#fc0c0c,,
Cairo,Cairo,30.0444,31.2358,,,
